hex_id,geometry,geom_time_min_10
8a1f99cd8b2ffff,"POLYGON ((514686.7288720664 5034245.22927061, 514760.6576387866 5034269.855964133, 514815.4131852533 5034220.677780982, 514808.0346991972 5034192.275320717, 514672.88964515453 5034191.958327318, 514686.7288720664 5034245.22927061))","POLYGON ((514890.53903859877 5034159.420839347, 514714.8775272867 5034167.5948747415, 514709.2690459223 5034168.826030841, 514702.2179016867 5034175.164275444, 514675.4220524883 5034243.470697415, 514717.02471693535 5034365.752415439, 514730.2986671888 5034372.771515363, 514870.6827584691 5034287.513046417, 514890.53903859877 5034159.420839347))"
8a1f99cd8b27fff,"POLYGON ((514538.8719992451 5034195.976115403, 514558.04602747853 5034269.780487885, 514631.97418022074 5034294.407072533, 514686.7288720664 5034245.22927061, 514672.88964515453 5034191.958327318, 514543.67969950545 5034191.657972803, 514538.8719992451 5034195.976115403))","POLYGON ((514569.3169579827 5034148.491468303, 514561.0844743287 5034178.846285132, 514585.9663788903 5034261.049053423, 514620.9734793183 5034278.69482873, 514631.4139982921 5034283.9073554035, 514645.41859877366 5034289.505934201, 514653.52500086435 5034286.51410412, 514683.80111836764 5034220.848714256, 514697.8389283289 5034165.488599921, 514569.3169579827 5034148.491468303))"
8a1f99cdd49ffff,"POLYGON ((514503.29219027224 5034318.957908581, 514558.04602747853 5034269.780487885, 514538.8719992451 5034195.976115403, 514528.6473526285 5034192.570082598, 514522.0796510503 5034193.528406341, 514512.5542232851 5034195.890460351, 514503.30619758146 5034199.1748314975, 514494.4246445169 5034203.349886995, 514485.99510505865 5034208.375415602, 514478.09876669175 5034214.203014905, 514470.811681478 5034220.776557506, 514464.20403357426 5034228.032731598, 514458.3394632683 5034235.901650733, 514453.27445403923 5034244.307526938, 514449.0577885475 5034253.169400633, 514445.73007879395 5034262.401920389, 514443.3233749746 5034271.916164972, 514441.86085679283 5034281.620499768, 514441.35661021125 5034291.421459344, 514441.34064566885 5034298.320760689, 514503.29219027224 5034318.957908581))","POLYGON ((514469.56292481435 5034183.412064242, 514442.0669259108 5034193.491964672, 514409.6967698012 5034293.782614401, 514424.9996483408 5034346.922055733, 514427.63880897366 5034351.760831136, 514582.8630226745 5034378.793502718, 514605.2658133341 5034363.358615015, 514604.97474224976 5034350.681776214, 514542.6176744517 5034216.187638356, 514469.56292481435 5034183.412064242))"
8a1f99cdd4d7fff,"POLYGON ((514725.0761277708 5034392.837799553, 514779.831146307 5034343.66047366, 514760.6576387866 5034269.855964133, 514686.7288720664 5034245.22927061, 514631.97418022074 5034294.407072533, 514651.1479284068 5034368.211091954, 514725.0761277708 5034392.837799553))","POLYGON ((514731.9106786633 5034262.067177476, 514670.77096987126 5034343.65817422, 514672.48218859505 5034417.708294841, 514737.56816921115 5034469.920644802, 514841.7658504115 5034435.703596114, 514731.9106786633 5034262.067177476))"
8a1f99cdd48ffff,"POLYGON ((514631.97418022074 5034294.407072533, 514558.04602747853 5034269.780487885, 514503.29219027224 5034318.957908581, 514522.4661791178 5034392.761437903, 514596.3937645105 5034417.388036624, 514651.1479284068 5034368.211091954, 514631.97418022074 5034294.407072533))","POLYGON ((514574.1764386993 5034207.273005836, 514519.81258651917 5034249.93059129, 514516.07677556336 5034276.4852366615, 514529.3435913562 5034307.056443159, 514580.0309749067 5034386.385963045, 514675.6296036778 5034425.759065119, 514702.7667936697 5034364.941361673, 514675.4220524883 5034243.470697415, 514574.1764386993 5034207.273005836))"
8a1f99cdd487fff,"POLYGON ((514467.7128698772 5034441.93800135, 514522.4661791178 5034392.761437903, 514503.29219027224 5034318.957908581, 514441.34064566885 5034298.320760689, 514441.0288899466 5034433.048933949, 514467.7128698772 5034441.93800135))","POLYGON ((514407.1082223781 5034287.310838389, 514402.72009638546 5034298.521569306, 514371.74958712974 5034457.319286104, 514370.94620072213 5034463.35001327, 514565.6083787498 5034456.632454434, 514576.32813929813 5034385.166416165, 514489.3386641048 5034293.687994265, 514407.1082223781 5034287.310838389))"
8a1f99cdd4f7fff,"POLYGON ((514596.3937645105 5034417.388036624, 514615.5674732934 5034491.191212844, 514689.4951052852 5034515.817934499, 514744.2495958658 5034466.641465883, 514725.0761277708 5034392.837799553, 514651.1479284068 5034368.211091954, 514596.3937645105 5034417.388036624))","POLYGON ((514618.9346226251 5034358.646558341, 514612.1307234721 5034366.374191653, 514617.44690675975 5034470.551069365, 514620.8498533515 5034483.035176431, 514670.1812633468 5034519.2344507435, 514727.08289356745 5034493.981888854, 514736.2685846635 5034480.705114209, 514708.0584925609 5034382.07378689, 514618.9346226251 5034358.646558341))"
8a1f99cdd4affff,"POLYGON ((514596.3937645105 5034417.388036624, 514522.4661791178 5034392.761437903, 514467.7128698772 5034441.93800135, 514486.88681934524 5034515.740687469, 514560.81383736845 5034540.367300241, 514615.5674732934 5034491.191212844, 514596.3937645105 5034417.388036624))","POLYGON ((514605.2658133341 5034363.358615015, 514495.0454968816 5034375.157431247, 514492.20273135614 5034377.272826389, 514465.85968241794 5034426.839137348, 514481.4628528836 5034569.823543873, 514482.44558998186 5034570.814571895, 514507.1891869672 5034577.237505797, 514558.7566799699 5034589.666317754, 514625.5254820959 5034563.380285964, 514630.4473737938 5034558.047978463, 514657.9495906484 5034427.45091286, 514605.2658133341 5034363.358615015))"
8a1f99cdd41ffff,"POLYGON ((514579.9875067587 5034614.169633223, 514653.9145713628 5034638.796368914, 514708.66853396624 5034589.62075759, 514689.4951052852 5034515.817934499, 514615.5674732934 5034491.191212844, 514560.81383736845 5034540.367300241, 514579.9875067587 5034614.169633223))","POLYGON ((514623.3800521047 5034477.497324907, 514603.67939540336 5034490.927573067, 514577.8242984973 5034511.953745191, 514545.12892043893 5034549.862037355, 514552.0866665645 5034644.36613711, 514560.749230924 5034650.796501601, 514575.5314867198 5034644.353818414, 514727.7877743683 5034486.762236774, 514702.9496317448 5034480.593737597, 514623.3800521047 5034477.497324907))"
8a1f99cdd417fff,"POLYGON ((514451.3079481892 5034638.718236529, 514525.23439883 5034663.34486333, 514579.9875067587 5034614.169633223, 514560.81383736845 5034540.367300241, 514486.88681934524 5034515.740687469, 514440.7416372207 5034557.1854750775, 514440.6479158896 5034597.686733788, 514451.3079481892 5034638.718236529))","POLYGON ((514549.82932638144 5034491.602554716, 514442.6154315669 5034533.116573456, 514476.95737428276 5034662.53470844, 514541.36230347975 5034653.940090472, 514569.8100217353 5034640.563251346, 514592.0929349251 5034602.2753844485, 514603.20092016296 5034538.709272387, 514589.12489823 5034520.323354728, 514549.82932638144 5034491.602554716))"
8a1f99cd8b6ffff,"POLYGON ((515018.0289616318 5034220.752930269, 515037.20198781247 5034294.558420019, 515111.13202898495 5034319.185454259, 515165.8896113523 5034270.006984664, 515146.7168258458 5034196.201004797, 515137.28698909376 5034193.059773303, 515049.09897648945 5034192.847971544, 515018.0289616318 5034220.752930269))","POLYGON ((514965.3723981895 5034097.839804885, 514925.4370553688 5034140.58381425, 514931.1816539799 5034154.48457775, 514935.0143566189 5034163.592524672, 514963.139006124 5034198.5327581605, 515079.2675425829 5034290.365345318, 515148.6306834499 5034331.6936014425, 515177.3121989578 5034342.428118099, 515166.2308020065 5034285.530814579, 515102.1118006398 5034124.396894495, 515092.36481664825 5034120.185124618, 514965.3723981895 5034097.839804885))"
8a1f99cd8b67fff,"POLYGON ((514944.09896701016 5034196.126018994, 514889.34256593353 5034245.304583382, 514908.51583278604 5034319.109583016, 514982.4452600405 5034343.736508373, 515037.20198781247 5034294.558420019, 515018.0289616318 5034220.752930269, 514944.09896701016 5034196.126018994))","POLYGON ((514938.7320959392 5034158.568669269, 514926.4748798965 5034161.172542586, 514900.7976335953 5034247.94498469, 514903.3983611716 5034262.260440141, 514946.69467751 5034314.7899269005, 514957.032372298 5034317.08090137, 515061.2659138874 5034292.299701913, 515074.9774316402 5034286.288903105, 514980.5923348119 5034180.73216761, 514938.7320959392 5034158.568669269))"
8a1f99cdd4dffff,"POLYGON ((514779.831146307 5034343.66047366, 514853.75995962444 5034368.287290138, 514908.51583278604 5034319.109583016, 514889.34256593353 5034245.304583382, 514815.4131852533 5034220.677780982, 514760.6576387866 5034269.855964133, 514779.831146307 5034343.66047366))","POLYGON ((514847.74325837824 5034188.893590314, 514754.72873147915 5034366.451862421, 514841.7658504115 5034435.703596114, 514851.9416525577 5034436.960814549, 514903.8590142748 5034368.003628409, 514963.139006124 5034198.5327581605, 514847.74325837824 5034188.893590314))"
8a1f99cdd797fff,"POLYGON ((515001.6182467535 5034417.5411549285, 515075.54772053653 5034442.168203236, 515130.3047749992 5034392.990590928, 515111.13202898495 5034319.185454259, 515037.20198781247 5034294.558420019, 514982.4452600405 5034343.736508373, 515001.6182467535 5034417.5411549285))","POLYGON ((515072.78982528584 5034295.471375965, 514960.64835954824 5034302.22473376, 514948.2230401981 5034303.306135284, 514946.69467751 5034314.7899269005, 515015.64635699673 5034476.211588831, 515018.8544264641 5034481.58524096, 515086.1923388041 5034476.791616439, 515132.16026507923 5034425.0309478175, 515138.42298249505 5034411.781049171, 515142.3609613153 5034354.297838865, 515142.10894045816 5034348.575736308, 515140.3765309926 5034344.016585394, 515139.7307793381 5034342.715194791, 515072.78982528584 5034295.471375965))"
8a1f99cdd4cffff,"POLYGON ((514946.86204690294 5034466.718386001, 515001.6182467535 5034417.5411549285, 514982.4452600405 5034343.736508373, 514908.51583278604 5034319.109583016, 514853.75995962444 5034368.287290138, 514872.9331870311 5034442.091446577, 514946.86204690294 5034466.718386001))","POLYGON ((515026.2114613408 5034376.738370778, 514907.94220640085 5034406.597295853, 514865.1900789504 5034428.204368984, 514852.39215538546 5034467.969049135, 514896.61113407864 5034480.427704891, 515068.9174794472 5034498.625169232, 515132.4481704596 5034477.536089294, 515131.4827879814 5034475.867309344, 515035.736237619 5034378.916434802, 515031.46241135575 5034377.850788993, 515026.2114613408 5034376.738370778))"
8a1f99cdd4c7fff,"POLYGON ((514853.75995962444 5034368.287290138, 514779.831146307 5034343.66047366, 514725.0761277708 5034392.837799553, 514744.2495958658 5034466.641465883, 514818.17784180655 5034491.26829642, 514872.9331870311 5034442.091446577, 514853.75995962444 5034368.287290138))","POLYGON ((514813.6783927592 5034365.257385577, 514744.675327253 5034366.2838396095, 514737.52883369295 5034373.355061978, 514741.93974094896 5034435.97966159, 514841.7211989387 5034438.058746761, 514849.0487479533 5034433.787713829, 514840.7048536093 5034381.796835097, 514831.0117902745 5034371.397493682, 514817.6711621094 5034366.17779425, 514813.6783927592 5034365.257385577))"
8a1f99cdd7b7fff,"POLYGON ((515075.54772053653 5034442.168203236, 515001.6182467535 5034417.5411549285, 514946.86204690294 5034466.718386001, 514966.03499415406 5034540.5221893145, 515039.9639005331 5034565.14925167, 515094.7204270681 5034515.972496669, 515075.54772053653 5034442.168203236))","POLYGON ((515021.44948768284 5034458.87210596, 515016.9316687999 5034487.957614064, 515016.92448610463 5034494.234577968, 515016.93161350314 5034494.523447229, 515031.88615249563 5034458.897062989, 515027.6411270326 5034458.886909836, 515024.2951401114 5034458.878909003, 515021.44948768284 5034458.87210596))"
8a1f99cdd4effff,"POLYGON ((514837.3510297743 5034565.071609619, 514911.27932224714 5034589.698563087, 514966.03499415406 5034540.5221893145, 514946.86204690294 5034466.718386001, 514872.9331870311 5034442.091446577, 514818.17784180655 5034491.26829642, 514837.3510297743 5034565.071609619))","POLYGON ((514847.81640303915 5034376.325443362, 514741.95743433817 5034438.434946313, 514737.5415406932 5034481.274694156, 514739.9320499934 5034591.988456891, 514744.3925080332 5034600.097893351, 514794.8539190066 5034610.54852416, 514855.3712334278 5034609.946953958, 515033.4827174172 5034605.2156559015, 515081.1405861126 5034594.675651436, 515085.710731305 5034589.476170825, 515086.528256389 5034574.580021604, 515085.66626294167 5034568.92311328, 515068.841439911 5034484.693421273, 514862.306190593 5034378.248344588, 514847.81640303915 5034376.325443362))"
8a1f99cdd4e7fff,"POLYGON ((514744.2495958658 5034466.641465883, 514689.4951052852 5034515.817934499, 514708.66853396624 5034589.62075759, 514782.5962125127 5034614.247602167, 514837.3510297743 5034565.071609619, 514818.17784180655 5034491.26829642, 514744.2495958658 5034466.641465883))","POLYGON ((514764.5351746335 5034511.6564286845, 514762.67784779763 5034513.585152646, 514757.11936541094 5034540.257594684, 514757.07083966077 5034550.933902261, 514761.0889874076 5034550.987778762, 514767.317557176 5034535.248858898, 514770.62869287503 5034513.481630016, 514764.5351746335 5034511.6564286845))"
8a1f99cdd45ffff,"POLYGON ((514966.03499415406 5034540.5221893145, 514911.27932224714 5034589.698563087, 514930.4522300441 5034663.501523124, 515004.3805690034 5034688.128599505, 515059.1365675874 5034638.952701827, 515039.9639005331 5034565.14925167, 514966.03499415406 5034540.5221893145))","POLYGON ((515068.841439911 5034484.693421273, 514794.61784421944 5034591.283746602, 514913.86596963333 5034753.356252238, 514982.7146227156 5034753.031218299, 515001.7492499298 5034733.701309302, 515119.1867629632 5034608.543112242, 515068.841439911 5034484.693421273))"
8a1f99cdd6b7fff,"POLYGON ((515146.7168258458 5034196.201004797, 515165.8896113523 5034270.006984664, 515239.82026642386 5034294.634127785, 515294.5787033707 5034245.45527695, 515281.05847386894 5034193.407723593, 515150.1797571925 5034193.090841638, 515146.7168258458 5034196.201004797))","POLYGON ((515155.7919006539 5034101.529049358, 515141.8157158994 5034103.617312247, 515103.0564700247 5034118.444368008, 515098.1344210761 5034123.53189143, 515118.1317079417 5034302.957131862, 515147.7283596007 5034333.046809684, 515175.7034987619 5034344.9239154635, 515273.2703750525 5034335.561507315, 515366.9342412947 5034272.731188215, 515379.160901469 5034186.76091445, 515377.7908653437 5034171.548384588, 515356.7408363339 5034153.832491759, 515182.12514730793 5034104.147838757, 515155.7919006539 5034101.529049358))"
8a1f99cdd6a7fff,"POLYGON ((515258.9927717381 5034368.439754577, 515332.92347329314 5034393.067020656, 515387.68223693466 5034343.88864587, 515368.50997232524 5034270.08252895, 515294.5787033707 5034245.45527695, 515239.82026642386 5034294.634127785, 515258.9927717381 5034368.439754577))","POLYGON ((515317.2888852582 5034234.659254096, 515244.045263199 5034284.696998493, 515228.4995875947 5034311.955839261, 515241.4137537577 5034383.322533289, 515290.23447415495 5034396.939420058, 515316.86739658343 5034401.170417389, 515431.90609528596 5034379.254682074, 515428.55174369237 5034366.714701364, 515366.9342412947 5034272.731188215, 515350.6365774053 5034252.349496547, 515338.13225880027 5034244.08667766, 515317.2888852582 5034234.659254096))"
8a1f99cdd79ffff,"POLYGON ((515165.8896113523 5034270.006984664, 515111.13202898495 5034319.185454259, 515130.3047749992 5034392.990590928, 515204.2348626785 5034417.61774812, 515258.9927717381 5034368.439754577, 515239.82026642386 5034294.634127785, 515165.8896113523 5034270.006984664))","POLYGON ((515208.05901526386 5034197.487554843, 515111.1958419206 5034297.007870968, 515113.29639122996 5034311.04447155, 515169.30006258254 5034354.873855686, 515216.8825773354 5034386.018289046, 515265.4180645655 5034397.9900564235, 515312.77921379474 5034394.527962097, 515314.3361216535 5034394.054038933, 515212.9937849424 5034200.076948502, 515208.05901526386 5034197.487554843))"
8a1f99cdd617fff,"POLYGON ((515387.68223693466 5034343.88864587, 515332.92347329314 5034393.067020656, 515352.09569837345 5034466.872294338, 515422.6699032808 5034490.38154782, 515422.9984240395 5034355.652742915, 515387.68223693466 5034343.88864587))","POLYGON ((515391.28666917107 5034394.29758805, 515316.54896325263 5034406.7244922295, 515277.1717382863 5034419.082614282, 515319.2814411851 5034440.338002495, 515337.20865452295 5034439.926233841, 515397.5689940252 5034424.331395085, 515398.5246676681 5034423.556057613, 515408.7553262507 5034415.159980582, 515410.82341643114 5034413.454157734, 515417.8822144692 5034400.995276216, 515407.3857966562 5034396.603418924, 515391.28666917107 5034394.29758805))"
8a1f99cdd78ffff,"POLYGON ((515223.4073284863 5034491.422531679, 515297.3374626256 5034516.049811811, 515352.09569837345 5034466.872294338, 515332.92347329314 5034393.067020656, 515258.9927717381 5034368.439754577, 515204.2348626785 5034417.61774812, 515223.4073284863 5034491.422531679))","POLYGON ((515173.3981922408 5034373.659142638, 515156.5230462013 5034443.453997774, 515185.82057726284 5034480.508927494, 515263.68525682535 5034560.998517375, 515305.59099730017 5034566.122036015, 515332.95526031905 5034523.438604882, 515330.71452679567 5034515.822990392, 515309.0074138369 5034473.019929681, 515265.03838412283 5034399.8111251425, 515173.3981922408 5034373.659142638))"
8a1f99cdd787fff,"POLYGON ((515168.64994733664 5034540.599667913, 515223.4073284863 5034491.422531679, 515204.2348626785 5034417.61774812, 515130.3047749992 5034392.990590928, 515075.54772053653 5034442.168203236, 515094.7204270681 5034515.972496669, 515168.64994733664 5034540.599667913))","POLYGON ((515036.7918302088 5034378.841192679, 515035.736237619 5034378.916434802, 514961.5066994644 5034473.660538354, 514957.9573607351 5034480.262360304, 515068.841439911 5034484.693421273, 515141.6486706015 5034477.947091607, 515138.0783161167 5034425.045201545, 515131.82327353593 5034412.387296955, 515036.7918302088 5034378.841192679))"
8a1f99cdd637fff,"POLYGON ((515352.09569837345 5034466.872294338, 515297.3374626256 5034516.049811811, 515316.5096481847 5034589.85424222, 515390.43982873985 5034614.48164528, 515422.4373650982 5034585.745454981, 515422.6699032808 5034490.38154782, 515352.09569837345 5034466.872294338))","POLYGON ((515478.75657058676 5034443.561774682, 515300.6642132268 5034460.856703976, 515299.5829898342 5034477.885246091, 515327.08216137515 5034527.468209158, 515363.5472757869 5034580.428344772, 515434.5957032212 5034681.511927389, 515467.6322294958 5034697.480047065, 515483.79154359014 5034697.242103566, 515487.5808297928 5034606.151838404, 515478.75657058676 5034443.561774682))"
8a1f99cdd7affff,"POLYGON ((515297.3374626256 5034516.049811811, 515223.4073284863 5034491.422531679, 515168.64994733664 5034540.599667913, 515187.8223736461 5034614.403608195, 515261.7519403541 5034639.0309023615, 515316.5096481847 5034589.85424222, 515297.3374626256 5034516.049811811))","POLYGON ((515285.09419691097 5034459.63007383, 515175.544385762 5034601.802061198, 515173.2152829642 5034614.528157857, 515215.9799573818 5034645.772071652, 515250.63473424676 5034668.47544674, 515276.85523010936 5034671.460993578, 515352.5571234302 5034637.438713656, 515294.02032698825 5034476.416333874, 515285.09419691097 5034459.63007383))"
8a1f99cdd7a7fff,"POLYGON ((515059.1365675874 5034638.952701827, 515133.06552043004 5034663.579887101, 515187.8223736461 5034614.403608195, 515168.64994733664 5034540.599667913, 515094.7204270681 5034515.972496669, 515039.9639005331 5034565.14925167, 515059.1365675874 5034638.952701827))","POLYGON ((515018.8544264641 5034481.58524096, 514912.1896779671 5034590.072964007, 515096.92890847434 5034644.829438562, 515211.7159623814 5034643.961975347, 515138.31191104976 5034487.093446586, 515130.73316395207 5034485.242092603, 515059.7638286943 5034481.938673083, 515018.8544264641 5034481.58524096))"
8a1f99cdd71ffff,"POLYGON ((515280.9240863998 5034712.8344894545, 515354.85369950347 5034737.461906535, 515409.61173401243 5034688.285722507, 515390.43982873985 5034614.48164528, 515316.5096481847 5034589.85424222, 515261.7519403541 5034639.0309023615, 515280.9240863998 5034712.8344894545))","POLYGON ((515286.1932379501 5034525.246654816, 515261.0590288589 5034560.792163929, 515211.7159623814 5034643.961975347, 515213.1640529645 5034652.886574603, 515301.4721365153 5034706.9497471135, 515405.9465413933 5034734.912644766, 515417.5779156043 5034732.119307959, 515431.5302660975 5034678.726971327, 515425.041330631 5034647.04837237, 515356.4643668369 5034570.8900136715, 515286.1932379501 5034525.246654816))"
8a1f99cdd457fff,"POLYGON ((514801.7693610492 5034688.050072089, 514875.6970861056 5034712.677039577, 514930.4522300441 5034663.501523124, 514911.27932224714 5034589.698563087, 514837.3510297743 5034565.071609619, 514782.5962125127 5034614.247602167, 514801.7693610492 5034688.050072089))","POLYGON ((514874.42526812403 5034552.7104086755, 514750.07399046194 5034570.937153887, 514733.3940691075 5034593.039655053, 514784.55807125935 5034799.966944197, 514854.9830330449 5034784.068415955, 514923.66088257637 5034740.314495843, 515081.1405861126 5034594.675651436, 515069.391955277 5034574.605560694, 514874.42526812403 5034552.7104086755))"
8a1f99cdd44ffff,"POLYGON ((515023.55319658964 5034761.93120635, 515097.4815819912 5034786.558405633, 515152.23790724884 5034737.382984069, 515133.06552043004 5034663.579887101, 515059.1365675874 5034638.952701827, 515004.3805690034 5034688.128599505, 515023.55319658964 5034761.93120635))","POLYGON ((515167.71996078576 5034627.3021605145, 515095.26091890613 5034655.7795998575, 515015.08223410894 5034722.101294971, 515001.7492499298 5034733.701309302, 515016.5504981387 5034791.384928373, 515068.6055109065 5034834.081949087, 515151.2326823129 5034838.046843258, 515208.3701104281 5034698.846932596, 515194.20415182924 5034673.271447643, 515167.71996078576 5034627.3021605145))"
8a1f99cdd447fff,"POLYGON ((514968.7977259789 5034811.1062466875, 515023.55319658964 5034761.93120635, 515004.3805690034 5034688.128599505, 514930.4522300441 5034663.501523124, 514875.6970861056 5034712.677039577, 514894.8699544571 5034786.479156301, 514968.7977259789 5034811.1062466875))","POLYGON ((515033.5880244222 5034587.340395728, 514962.8628561956 5034590.304521123, 514912.3987885756 5034600.783212972, 514832.8722566881 5034818.567362865, 514898.69136942667 5034846.097403163, 514970.68737880536 5034840.047097235, 515041.54974260123 5034772.069396548, 515069.55887110834 5034589.759595942, 515033.5880244222 5034587.340395728))"
