hex_id,geometry,geom_time_min_15
8a1f99cd8b2ffff,"POLYGON ((514686.7288720664 5034245.22927061, 514760.6576387866 5034269.855964133, 514815.4131852533 5034220.677780982, 514808.0346991972 5034192.275320717, 514672.88964515453 5034191.958327318, 514686.7288720664 5034245.22927061))","POLYGON ((514721.70752302324 5034122.172228289, 514719.59581737703 5034122.511682414, 514718.6650939703 5034122.665038257, 514696.6949389652 5034169.918691914, 514637.867122156 5034322.772985262, 514636.88036291965 5034326.8590546185, 514672.48218859505 5034417.708294841, 514737.8822711245 5034425.993635757, 514824.2853964528 5034366.048967744, 514914.97831836477 5034264.93202061, 514939.44095043646 5034143.216756674, 514927.39333214646 5034129.978702817, 514721.70752302324 5034122.172228289))"
8a1f99cd8b27fff,"POLYGON ((514538.8719992451 5034195.976115403, 514558.04602747853 5034269.780487885, 514631.97418022074 5034294.407072533, 514686.7288720664 5034245.22927061, 514672.88964515453 5034191.958327318, 514543.67969950545 5034191.657972803, 514538.8719992451 5034195.976115403))","POLYGON ((514595.8524533845 5034148.197530837, 514569.3169579827 5034148.491468303, 514561.0844743287 5034178.846285132, 514585.9663788903 5034261.049053423, 514640.9738299397 5034324.846625792, 514710.9335380577 5034215.912806847, 514722.110060182 5034190.6310976315, 514705.34431456117 5034168.839065376, 514696.98042365885 5034158.165304746, 514595.8524533845 5034148.197530837))"
8a1f99cdd49ffff,"POLYGON ((514503.29219027224 5034318.957908581, 514558.04602747853 5034269.780487885, 514538.8719992451 5034195.976115403, 514528.6473526285 5034192.570082598, 514522.0796510503 5034193.528406341, 514512.5542232851 5034195.890460351, 514503.30619758146 5034199.1748314975, 514494.4246445169 5034203.349886995, 514485.99510505865 5034208.375415602, 514478.09876669175 5034214.203014905, 514470.811681478 5034220.776557506, 514464.20403357426 5034228.032731598, 514458.3394632683 5034235.901650733, 514453.27445403923 5034244.307526938, 514449.0577885475 5034253.169400633, 514445.73007879395 5034262.401920389, 514443.3233749746 5034271.916164972, 514441.86085679283 5034281.620499768, 514441.35661021125 5034291.421459344, 514441.34064566885 5034298.320760689, 514503.29219027224 5034318.957908581))","POLYGON ((514507.361020728 5034096.42144988, 514363.0449451263 5034229.66177233, 514343.8747711117 5034349.6804293925, 514406.4449237751 5034430.002223879, 514657.4782345994 5034421.728319501, 514628.70456772775 5034285.800805444, 514507.361020728 5034096.42144988))"
8a1f99cdd4d7fff,"POLYGON ((514725.0761277708 5034392.837799553, 514779.831146307 5034343.66047366, 514760.6576387866 5034269.855964133, 514686.7288720664 5034245.22927061, 514631.97418022074 5034294.407072533, 514651.1479284068 5034368.211091954, 514725.0761277708 5034392.837799553))","POLYGON ((514719.96395961713 5034185.637818235, 514709.85799107305 5034191.102343815, 514675.4220524883 5034243.470697415, 514614.4511662403 5034353.558999189, 514616.32443096756 5034361.584556014, 514672.19764007087 5034429.083960176, 514712.15190348774 5034470.238817525, 514731.4714651585 5034482.771379995, 514821.9710256381 5034472.230003308, 514852.3497129878 5034466.08029995, 514851.9416525577 5034436.960814549, 514847.7033661566 5034371.2258251095, 514719.96395961713 5034185.637818235))"
8a1f99cdd48ffff,"POLYGON ((514631.97418022074 5034294.407072533, 514558.04602747853 5034269.780487885, 514503.29219027224 5034318.957908581, 514522.4661791178 5034392.761437903, 514596.3937645105 5034417.388036624, 514651.1479284068 5034368.211091954, 514631.97418022074 5034294.407072533))","POLYGON ((514702.2179016867 5034175.164275444, 514554.8437876296 5034189.763765388, 514498.67834226665 5034244.071427537, 514478.6340855293 5034297.8516766345, 514510.43566658755 5034393.479507387, 514512.74228902836 5034400.095102666, 514538.69167501765 5034426.273979925, 514542.9523075261 5034429.683405779, 514709.9365784331 5034471.477917495, 514717.17001558904 5034470.617188181, 514728.0429289423 5034464.621205956, 514734.60033685155 5034385.324447787, 514731.9106786633 5034262.067177476, 514709.85799107305 5034191.102343815, 514702.2179016867 5034175.164275444))"
8a1f99cdd487fff,"POLYGON ((514467.7128698772 5034441.93800135, 514522.4661791178 5034392.761437903, 514503.29219027224 5034318.957908581, 514441.34064566885 5034298.320760689, 514441.0288899466 5034433.048933949, 514467.7128698772 5034441.93800135))","POLYGON ((514363.0449451263 5034229.66177233, 514341.46220497147 5034351.719106577, 514346.4912227598 5034487.768792566, 514418.1188716048 5034531.360534834, 514429.2883325755 5034532.230509995, 514577.8242984973 5034511.953745191, 514579.1193854284 5034506.357462125, 514607.90945123043 5034366.208841826, 514609.67576517473 5034356.347538499, 514549.2918287522 5034288.171677572, 514498.25716878206 5034236.86026551, 514363.0449451263 5034229.66177233))"
8a1f99cdd4f7fff,"POLYGON ((514596.3937645105 5034417.388036624, 514615.5674732934 5034491.191212844, 514689.4951052852 5034515.817934499, 514744.2495958658 5034466.641465883, 514725.0761277708 5034392.837799553, 514651.1479284068 5034368.211091954, 514596.3937645105 5034417.388036624))","POLYGON ((514639.78742555 5034324.021744379, 514610.02196270245 5034348.671543956, 514548.11900345376 5034416.552594768, 514559.72295954596 5034483.037674536, 514577.8242984973 5034511.953745191, 514657.1996382201 5034541.168031694, 514732.41018810193 5034505.859534691, 514766.380726386 5034484.797512923, 514735.9342825266 5034373.229115962, 514730.29660455184 5034370.31626759, 514639.78742555 5034324.021744379))"
8a1f99cdd4affff,"POLYGON ((514596.3937645105 5034417.388036624, 514522.4661791178 5034392.761437903, 514467.7128698772 5034441.93800135, 514486.88681934524 5034515.740687469, 514560.81383736845 5034540.367300241, 514615.5674732934 5034491.191212844, 514596.3937645105 5034417.388036624))","POLYGON ((514545.507587814 5034291.695800035, 514487.68680056394 5034308.237884142, 514449.49824267585 5034395.7054580785, 514431.8859854675 5034541.4908531, 514452.27985336696 5034566.334569505, 514492.64725173137 5034598.079072986, 514571.5589725261 5034624.647107009, 514586.2895662288 5034613.549365095, 514627.90265469707 5034576.5508129075, 514670.1977607904 5034528.911036867, 514670.1812633468 5034519.2344507435, 514664.0208970365 5034432.142260082, 514636.88036291965 5034326.8590546185, 514545.507587814 5034291.695800035))"
8a1f99cdd41ffff,"POLYGON ((514579.9875067587 5034614.169633223, 514653.9145713628 5034638.796368914, 514708.66853396624 5034589.62075759, 514689.4951052852 5034515.817934499, 514615.5674732934 5034491.191212844, 514560.81383736845 5034540.367300241, 514579.9875067587 5034614.169633223))","POLYGON ((514542.9523075261 5034429.683405779, 514509.97796530585 5034483.35589075, 514496.40315897914 5034572.857611614, 514508.1101227258 5034706.567644079, 514658.5121211347 5034625.327068433, 514699.52455797 5034577.895578784, 514748.83703998284 5034485.089602778, 514737.0791199848 5034471.774817487, 514686.4678278815 5034454.691818662, 514650.4728850805 5034445.453405862, 514542.9523075261 5034429.683405779))"
8a1f99cdd417fff,"POLYGON ((514451.3079481892 5034638.718236529, 514525.23439883 5034663.34486333, 514579.9875067587 5034614.169633223, 514560.81383736845 5034540.367300241, 514486.88681934524 5034515.740687469, 514440.7416372207 5034557.1854750775, 514440.6479158896 5034597.686733788, 514451.3079481892 5034638.718236529))","POLYGON ((514566.2663297604 5034456.089604403, 514501.90167151636 5034483.603879868, 514434.2873216262 5034520.49904141, 514350.57398143254 5034623.860790522, 514352.8898496958 5034633.309323293, 514444.14149341494 5034726.26219457, 514452.51550081256 5034732.391785456, 514470.2452637711 5034729.066351601, 514583.6001255658 5034647.31661038, 514627.90265469707 5034576.5508129075, 514633.38025086065 5034564.220690777, 514616.7179732189 5034471.36038169, 514566.2663297604 5034456.089604403))"
